,school,sex,age,mother's_education,father's_education,reason,study_time,family_support,extra_classes,higher,G1,G2,G3,subject,study_x_mother's_education,study_x_father's_education
49,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,other,2-5 hr,yes,no,yes,7,7,7,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
50,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,course,2-5 hr,yes,yes,yes,12,13,13,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
51,Gabriel Peireira,Female,15,Post-Secondary,Grade 5-9,other,2-5 hr,yes,yes,yes,11,13,13,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
52,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,other,<2 hr,no,no,yes,11,11,10,Math,<2 hr X Post-Secondary,<2 hr X Grade 5-9
53,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,course,<2 hr,yes,yes,yes,8,10,11,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
54,Gabriel Peireira,Female,15,Secondary,Secondary,other,<2 hr,no,yes,yes,10,13,13,Math,<2 hr X Secondary,<2 hr X Secondary
55,Gabriel Peireira,Female,16,Grade 5-9,Primary,other,2-5 hr,no,yes,yes,8,9,10,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
56,Gabriel Peireira,Female,15,Post-Secondary,Secondary,reputation,2-5 hr,yes,yes,yes,14,15,15,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
57,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,14,15,15,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
58,Gabriel Peireira,Male,15,Primary,Grade 5-9,home,2-5 hr,yes,no,yes,9,10,9,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
59,Gabriel Peireira,Female,16,Post-Secondary,Grade 5-9,course,2-5 hr,yes,no,yes,15,16,16,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
60,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,other,2-5 hr,yes,no,yes,10,11,11,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
61,Gabriel Peireira,Female,16,Primary,Primary,course,<2 hr,yes,no,yes,10,8,11,Math,<2 hr X Primary,<2 hr X Primary
62,Gabriel Peireira,Female,16,Primary,Grade 5-9,reputation,2-5 hr,no,no,yes,8,10,9,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
63,Gabriel Peireira,Female,16,Post-Secondary,Secondary,home,5-10 hr,yes,yes,yes,10,9,9,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
64,Gabriel Peireira,Female,15,Post-Secondary,Secondary,reputation,2-5 hr,no,no,yes,10,10,10,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
65,Gabriel Peireira,Female,16,Post-Secondary,Secondary,course,2-5 hr,yes,no,yes,16,15,15,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
66,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,>10 hr,yes,no,yes,13,13,12,Math,>10 hr X Post-Secondary,>10 hr X Post-Secondary
67,Gabriel Peireira,Female,16,Secondary,Primary,course,>10 hr,yes,yes,yes,7,7,6,Math,>10 hr X Secondary,>10 hr X Primary
68,Gabriel Peireira,Female,15,Grade 5-9,Grade 5-9,reputation,2-5 hr,yes,yes,yes,8,9,8,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
69,Gabriel Peireira,Female,15,Secondary,Primary,reputation,>10 hr,yes,no,yes,16,16,16,Math,>10 hr X Secondary,>10 hr X Primary
70,Gabriel Peireira,Male,16,Secondary,Primary,reputation,>10 hr,yes,yes,yes,13,15,15,Math,>10 hr X Secondary,>10 hr X Primary
71,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,course,>10 hr,no,no,yes,10,10,10,Math,>10 hr X Post-Secondary,>10 hr X Grade 5-9
72,Gabriel Peireira,Female,15,Primary,Primary,reputation,2-5 hr,yes,no,yes,8,6,5,Math,2-5 hr X Primary,2-5 hr X Primary
73,Gabriel Peireira,Male,16,Secondary,Primary,reputation,<2 hr,no,no,yes,12,12,14,Math,<2 hr X Secondary,<2 hr X Primary
74,Gabriel Peireira,Female,16,Secondary,Secondary,home,2-5 hr,yes,yes,yes,11,12,11,Math,2-5 hr X Secondary,2-5 hr X Secondary
75,Gabriel Peireira,Male,15,Post-Secondary,Secondary,home,2-5 hr,yes,yes,yes,9,9,10,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
76,Gabriel Peireira,Male,15,Post-Secondary,None,course,>10 hr,no,no,yes,11,11,10,Math,>10 hr X Post-Secondary,>10 hr X None
77,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,reputation,>10 hr,no,yes,yes,11,11,11,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
78,Gabriel Peireira,Male,17,Grade 5-9,Primary,home,<2 hr,yes,no,no,8,8,10,Math,<2 hr X Grade 5-9,<2 hr X Primary
79,Gabriel Peireira,Female,16,Secondary,Post-Secondary,course,2-5 hr,yes,no,yes,5,5,5,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
80,Gabriel Peireira,Male,15,Grade 5-9,Secondary,course,<2 hr,yes,yes,yes,10,12,12,Math,<2 hr X Grade 5-9,<2 hr X Secondary
81,Gabriel Peireira,Male,15,Grade 5-9,Secondary,home,5-10 hr,no,yes,yes,11,10,11,Math,5-10 hr X Grade 5-9,5-10 hr X Secondary
82,Gabriel Peireira,Female,15,Secondary,Grade 5-9,reputation,2-5 hr,yes,yes,yes,7,6,6,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
83,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,2-5 hr,no,yes,yes,15,15,15,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
84,Gabriel Peireira,Female,15,Primary,Primary,home,2-5 hr,yes,no,yes,9,10,10,Math,2-5 hr X Primary,2-5 hr X Primary
85,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,no,yes,yes,7,9,8,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
86,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,course,2-5 hr,yes,no,yes,8,7,6,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
87,Gabriel Peireira,Female,15,Post-Secondary,Grade 5-9,reputation,5-10 hr,yes,no,yes,13,14,14,Math,5-10 hr X Post-Secondary,5-10 hr X Grade 5-9
88,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,reputation,2-5 hr,no,yes,yes,11,10,10,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
89,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,8,6,7,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
90,Gabriel Peireira,Female,16,Secondary,Secondary,home,5-10 hr,yes,yes,yes,7,7,8,Math,5-10 hr X Secondary,5-10 hr X Secondary
91,Gabriel Peireira,Female,15,Post-Secondary,Secondary,reputation,<2 hr,no,yes,yes,16,17,18,Math,<2 hr X Post-Secondary,<2 hr X Secondary
92,Gabriel Peireira,Female,16,Secondary,Primary,home,2-5 hr,yes,no,yes,7,6,6,Math,2-5 hr X Secondary,2-5 hr X Primary
93,Gabriel Peireira,Female,16,Post-Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,11,10,10,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
94,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,reputation,>10 hr,yes,no,yes,11,13,14,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
95,Gabriel Peireira,Female,15,Primary,Primary,home,>10 hr,yes,yes,yes,7,10,10,Math,>10 hr X Primary,>10 hr X Primary
96,Gabriel Peireira,Male,16,Post-Secondary,Secondary,reputation,<2 hr,yes,no,yes,11,15,15,Math,<2 hr X Post-Secondary,<2 hr X Secondary
97,Gabriel Peireira,Female,16,Grade 5-9,Primary,course,2-5 hr,yes,yes,yes,8,9,10,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
98,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,reputation,<2 hr,no,no,yes,11,14,14,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
99,Gabriel Peireira,Female,16,Post-Secondary,Secondary,course,5-10 hr,yes,yes,yes,7,9,8,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
100,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,other,<2 hr,yes,yes,yes,7,7,5,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
101,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,other,5-10 hr,yes,no,yes,16,17,17,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
102,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,course,<2 hr,yes,no,yes,10,13,14,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
103,Gabriel Peireira,Female,15,Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,7,6,6,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
104,Gabriel Peireira,Male,15,Secondary,Post-Secondary,course,2-5 hr,yes,yes,yes,16,18,18,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
105,Gabriel Peireira,Female,15,Secondary,Secondary,reputation,>10 hr,no,no,yes,10,11,11,Math,>10 hr X Secondary,>10 hr X Secondary
106,Gabriel Peireira,Female,15,Grade 5-9,Grade 5-9,course,>10 hr,yes,yes,yes,7,8,8,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
107,Gabriel Peireira,Male,16,Secondary,Secondary,home,5-10 hr,yes,no,yes,16,18,18,Math,5-10 hr X Secondary,5-10 hr X Secondary
108,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,home,>10 hr,yes,yes,yes,10,13,13,Math,>10 hr X Post-Secondary,>10 hr X Post-Secondary
109,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,other,5-10 hr,yes,yes,yes,14,15,16,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
110,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,course,<2 hr,no,no,yes,18,19,19,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
111,Gabriel Peireira,Female,16,Secondary,Secondary,reputation,5-10 hr,yes,no,yes,7,10,10,Math,5-10 hr X Secondary,5-10 hr X Secondary
112,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,2-5 hr,no,no,yes,10,13,13,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
113,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,course,<2 hr,no,no,yes,18,19,19,Math,<2 hr X Post-Secondary,<2 hr X Grade 5-9
114,Gabriel Peireira,Male,15,Grade 5-9,Primary,reputation,2-5 hr,no,no,yes,9,9,9,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
115,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,course,2-5 hr,yes,no,yes,15,15,16,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
116,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,11,13,14,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
117,Gabriel Peireira,Male,16,Secondary,Secondary,home,<2 hr,no,no,yes,13,14,13,Math,<2 hr X Secondary,<2 hr X Secondary
118,Gabriel Peireira,Male,17,Primary,Secondary,course,2-5 hr,yes,no,yes,9,7,8,Math,2-5 hr X Primary,2-5 hr X Secondary
119,Gabriel Peireira,Male,15,Secondary,Post-Secondary,reputation,<2 hr,no,no,yes,14,13,13,Math,<2 hr X Secondary,<2 hr X Post-Secondary
120,Gabriel Peireira,Female,15,Primary,Grade 5-9,course,2-5 hr,no,no,yes,16,15,15,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
121,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,>10 hr,yes,yes,yes,16,14,15,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
122,Gabriel Peireira,Female,16,Grade 5-9,Post-Secondary,course,2-5 hr,yes,yes,yes,13,13,13,Math,2-5 hr X Grade 5-9,2-5 hr X Post-Secondary
123,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,course,<2 hr,yes,no,yes,14,11,13,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
124,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,2-5 hr,no,yes,yes,8,7,8,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
125,Gabriel Peireira,Male,15,Secondary,Post-Secondary,home,<2 hr,no,no,yes,13,13,12,Math,<2 hr X Secondary,<2 hr X Post-Secondary
126,Gabriel Peireira,Female,15,Secondary,Post-Secondary,home,2-5 hr,no,no,yes,7,10,11,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
127,Gabriel Peireira,Female,19,None,Primary,course,2-5 hr,yes,no,no,7,8,9,Math,2-5 hr X None,2-5 hr X Primary
128,Gabriel Peireira,Male,18,Grade 5-9,Grade 5-9,reputation,<2 hr,yes,no,yes,7,4,0,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
129,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,course,<2 hr,no,yes,yes,18,18,18,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
130,Gabriel Peireira,Female,15,Secondary,Post-Secondary,course,5-10 hr,yes,no,yes,12,0,0,Math,5-10 hr X Secondary,5-10 hr X Post-Secondary
131,Gabriel Peireira,Female,15,Primary,Primary,course,<2 hr,yes,no,yes,8,0,0,Math,<2 hr X Primary,<2 hr X Primary
132,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,<2 hr,yes,no,yes,10,13,12,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
133,Gabriel Peireira,Female,16,Secondary,Post-Secondary,course,<2 hr,no,no,yes,12,11,11,Math,<2 hr X Secondary,<2 hr X Post-Secondary
134,Gabriel Peireira,Male,15,Secondary,Post-Secondary,course,2-5 hr,yes,no,yes,9,0,0,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
135,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,course,5-10 hr,yes,no,yes,11,0,0,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
136,Gabriel Peireira,Male,17,Secondary,Post-Secondary,course,2-5 hr,no,no,yes,10,0,0,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
137,Gabriel Peireira,Female,16,Secondary,Secondary,course,<2 hr,yes,no,yes,4,0,0,Math,<2 hr X Secondary,<2 hr X Secondary
138,Gabriel Peireira,Male,16,Primary,Primary,course,2-5 hr,no,no,yes,14,12,12,Math,2-5 hr X Primary,2-5 hr X Primary
139,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,course,<2 hr,no,no,yes,16,16,15,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
140,Gabriel Peireira,Male,15,Post-Secondary,Secondary,course,>10 hr,yes,no,yes,7,9,0,Math,>10 hr X Post-Secondary,>10 hr X Secondary
141,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,reputation,<2 hr,yes,no,yes,9,9,9,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
142,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,course,5-10 hr,yes,yes,yes,9,11,11,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
143,Gabriel Peireira,Female,16,Primary,Primary,course,<2 hr,no,no,yes,14,14,13,Math,<2 hr X Primary,<2 hr X Primary
144,Gabriel Peireira,Male,17,Grade 5-9,Primary,home,<2 hr,yes,no,yes,5,0,0,Math,<2 hr X Grade 5-9,<2 hr X Primary
145,Gabriel Peireira,Female,15,Primary,Primary,course,2-5 hr,yes,yes,yes,8,11,11,Math,2-5 hr X Primary,2-5 hr X Primary
146,Gabriel Peireira,Female,15,Secondary,Grade 5-9,home,2-5 hr,yes,no,yes,6,7,0,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
147,Gabriel Peireira,Female,15,Primary,Grade 5-9,course,2-5 hr,yes,yes,yes,10,11,11,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
148,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,course,<2 hr,yes,no,no,7,6,0,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
149,Gabriel Peireira,Male,15,Grade 5-9,Primary,course,<2 hr,no,no,yes,8,9,10,Math,<2 hr X Grade 5-9,<2 hr X Primary
150,Gabriel Peireira,Male,18,Primary,Primary,course,<2 hr,no,no,no,6,5,0,Math,<2 hr X Primary,<2 hr X Primary
151,Gabriel Peireira,Male,16,Grade 5-9,Primary,course,<2 hr,no,no,yes,12,13,14,Math,<2 hr X Grade 5-9,<2 hr X Primary
152,Gabriel Peireira,Female,15,Secondary,Secondary,reputation,5-10 hr,yes,yes,yes,10,10,10,Math,5-10 hr X Secondary,5-10 hr X Secondary
153,Gabriel Peireira,Male,19,Secondary,Grade 5-9,home,<2 hr,yes,no,no,5,0,0,Math,<2 hr X Secondary,<2 hr X Grade 5-9
154,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,course,<2 hr,yes,no,yes,11,11,12,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
155,Gabriel Peireira,Male,15,Grade 5-9,Secondary,course,2-5 hr,no,yes,yes,11,8,8,Math,2-5 hr X Grade 5-9,2-5 hr X Secondary
156,Gabriel Peireira,Male,17,Primary,Grade 5-9,reputation,<2 hr,no,no,yes,16,12,13,Math,<2 hr X Primary,<2 hr X Grade 5-9
157,Gabriel Peireira,Female,18,Primary,Primary,course,<2 hr,yes,no,yes,9,8,10,Math,<2 hr X Primary,<2 hr X Primary
158,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,course,<2 hr,no,no,yes,17,15,15,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
159,Gabriel Peireira,Male,16,Secondary,Secondary,course,2-5 hr,yes,yes,yes,10,12,12,Math,2-5 hr X Secondary,2-5 hr X Secondary
160,Gabriel Peireira,Male,17,Grade 5-9,Primary,course,<2 hr,no,no,no,7,6,0,Math,<2 hr X Grade 5-9,<2 hr X Primary
161,Gabriel Peireira,Male,15,Secondary,Grade 5-9,course,2-5 hr,yes,no,yes,5,9,7,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
162,Gabriel Peireira,Male,16,Primary,Grade 5-9,course,<2 hr,no,no,yes,7,0,0,Math,<2 hr X Primary,<2 hr X Grade 5-9
163,Gabriel Peireira,Male,17,Primary,Secondary,course,<2 hr,no,no,no,10,10,10,Math,<2 hr X Primary,<2 hr X Secondary
164,Gabriel Peireira,Male,17,Primary,Primary,course,2-5 hr,no,no,no,5,8,7,Math,2-5 hr X Primary,2-5 hr X Primary
165,Gabriel Peireira,Male,16,Secondary,Grade 5-9,course,<2 hr,yes,no,no,12,11,12,Math,<2 hr X Secondary,<2 hr X Grade 5-9
166,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,course,2-5 hr,no,no,no,10,10,10,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
