,School,Sex,Age,Study_Time,Freetime,Go_Out,Daily_Alc_Consumption,Weekend_Alc_Consumption,Health,Absences,Period_1_Grade,Period_2_Grade,Final_Grade,Weekly_Drinking_AVG,Use_Of_Freetime,subject
169,Gabriel Pereira,Female,17,3,3,2,2,2,3,3,11,11,11,3.0,6.666666666666667,Math
170,Gabriel Pereira,Male,18,3,3,3,2,2,3,3,9,12,11,3.0,7.0,Math
171,Gabriel Pereira,Female,16,2,3,3,2,2,5,14,10,10,9,3.0,6.0,Math
172,Gabriel Pereira,Male,16,1,3,3,2,2,2,8,9,9,9,3.0,5.0,Math
173,Gabriel Pereira,Female,16,2,3,3,2,2,4,5,7,7,7,3.0,6.0,Math
174,Gabriel Pereira,Male,17,1,3,2,2,2,5,0,7,6,0,3.0,4.666666666666667,Math
175,Gabriel Pereira,Male,18,2,3,3,2,2,2,0,10,10,0,3.0,6.0,Math
176,Mousinho Da Silveira,Male,18,3,2,2,2,2,5,0,13,13,13,3.0,5.666666666666667,Math
177,Gabriel Pereira,Female,15,3,2,2,2,2,5,0,12,0,0,3.0,5.666666666666667,Math
178,Gabriel Pereira,Female,19,2,2,4,2,2,3,0,9,9,0,3.0,5.333333333333333,Math
179,Gabriel Pereira,Male,17,1,1,1,2,2,5,0,11,11,10,3.0,2.3333333333333335,Math
180,Gabriel Pereira,Male,15,4,5,4,1,2,5,6,16,14,15,2.5,10.333333333333334,Math
181,Gabriel Pereira,Male,19,2,5,3,1,2,5,0,15,12,12,2.5,8.0,Math
182,Gabriel Pereira,Female,16,2,5,2,1,2,3,0,9,9,10,2.5,7.666666666666667,Math
183,Gabriel Pereira,Male,16,2,4,4,1,2,5,2,15,15,16,2.5,7.333333333333333,Math
184,Gabriel Pereira,Male,16,2,4,2,1,2,5,10,15,15,15,2.5,6.666666666666667,Math
185,Gabriel Pereira,Female,16,2,4,3,1,2,1,2,16,15,15,2.5,7.0,Math
186,Gabriel Pereira,Female,16,1,4,4,1,2,2,4,14,14,14,2.5,6.333333333333333,Math
187,Gabriel Pereira,Male,15,1,4,3,1,2,4,6,14,13,13,2.5,6.0,Math
188,Gabriel Pereira,Female,19,3,4,3,1,2,5,12,14,13,13,2.5,8.0,Math
189,Gabriel Pereira,Male,15,2,4,3,1,2,3,2,10,10,11,2.5,7.0,Math
190,Gabriel Pereira,Female,15,2,4,2,1,2,5,0,8,11,11,2.5,6.666666666666667,Math
191,Gabriel Pereira,Female,17,2,4,5,1,2,5,4,10,9,11,2.5,7.666666666666667,Math
192,Gabriel Pereira,Male,17,1,4,4,1,2,5,2,7,9,8,2.5,6.333333333333333,Math
193,Gabriel Pereira,Female,18,2,4,5,1,2,2,10,10,8,8,2.5,7.666666666666667,Math
194,Gabriel Pereira,Female,16,2,4,3,1,2,3,12,5,5,5,2.5,7.0,Math
195,Gabriel Pereira,Male,17,1,4,5,1,2,5,0,5,0,0,2.5,6.666666666666667,Math
196,Mousinho Da Silveira,Female,19,3,4,2,1,2,5,0,7,5,0,2.5,7.666666666666667,Math
197,Gabriel Pereira,Female,18,3,3,3,1,2,2,5,18,18,19,2.5,7.0,Math
198,Gabriel Pereira,Male,18,3,3,2,1,2,4,9,16,15,16,2.5,6.666666666666667,Math
199,Gabriel Pereira,Female,16,1,3,4,1,2,1,6,11,14,14,2.5,5.333333333333333,Math
200,Gabriel Pereira,Female,17,3,3,3,1,2,4,4,14,14,14,2.5,7.0,Math
201,Mousinho Da Silveira,Female,17,2,3,3,1,2,5,4,12,13,13,2.5,6.0,Math
202,Gabriel Pereira,Male,16,1,3,2,1,2,5,0,13,12,12,2.5,4.666666666666667,Math
203,Gabriel Pereira,Female,16,2,3,3,1,2,3,25,7,10,11,2.5,6.0,Math
204,Gabriel Pereira,Male,15,3,3,2,1,2,5,4,11,10,11,2.5,6.666666666666667,Math
205,Gabriel Pereira,Male,16,1,3,3,1,2,3,2,11,12,11,2.5,5.0,Math
206,Gabriel Pereira,Male,17,2,3,3,1,2,4,2,12,10,11,2.5,6.0,Math
207,Gabriel Pereira,Female,16,2,3,2,1,2,5,4,6,10,10,2.5,5.666666666666667,Math
208,Gabriel Pereira,Female,18,3,3,3,1,2,3,4,11,10,10,2.5,7.0,Math
209,Mousinho Da Silveira,Male,18,1,3,2,1,2,3,4,10,10,10,2.5,4.666666666666667,Math
210,Mousinho Da Silveira,Female,18,3,3,2,1,2,4,2,8,8,10,2.5,6.666666666666667,Math
211,Gabriel Pereira,Female,15,2,3,3,1,2,2,0,10,8,9,2.5,6.0,Math
212,Gabriel Pereira,Female,19,4,3,3,1,2,3,10,8,8,8,2.5,8.0,Math
213,Gabriel Pereira,Female,16,4,3,3,1,2,5,4,7,7,6,2.5,8.0,Math
214,Gabriel Pereira,Female,16,2,3,4,1,2,2,4,8,7,6,2.5,6.333333333333333,Math
215,Gabriel Pereira,Female,17,1,3,2,1,2,3,18,7,6,6,2.5,4.666666666666667,Math
216,Gabriel Pereira,Male,18,1,3,3,1,2,4,0,7,4,0,2.5,5.0,Math
217,Gabriel Pereira,Female,15,1,3,3,1,2,4,0,8,0,0,2.5,5.0,Math
218,Gabriel Pereira,Female,18,2,3,5,1,2,3,0,6,0,0,2.5,6.666666666666667,Math
219,Gabriel Pereira,Female,18,2,3,3,1,2,1,0,8,8,0,2.5,6.0,Math
220,Gabriel Pereira,Female,17,2,3,1,1,2,4,0,9,8,0,2.5,5.333333333333333,Math
221,Gabriel Pereira,Female,17,4,2,2,1,2,5,0,17,17,18,2.5,6.666666666666667,Math
222,Gabriel Pereira,Male,17,1,2,3,1,2,5,4,17,15,16,2.5,4.0,Math
223,Gabriel Pereira,Female,15,2,2,3,1,2,1,2,16,15,15,2.5,5.0,Math
224,Gabriel Pereira,Male,16,1,2,2,1,2,3,2,17,15,15,2.5,3.6666666666666665,Math
225,Gabriel Pereira,Male,16,2,2,3,1,2,5,0,15,15,15,2.5,5.0,Math
226,Gabriel Pereira,Female,17,3,2,2,1,2,3,0,15,15,15,2.5,5.666666666666667,Math
227,Gabriel Pereira,Female,16,3,2,3,1,2,2,6,13,14,14,2.5,6.0,Math
228,Gabriel Pereira,Female,17,2,2,3,1,2,3,14,13,13,14,2.5,5.0,Math
229,Gabriel Pereira,Male,18,2,2,4,1,2,4,8,15,14,14,2.5,5.333333333333333,Math
230,Gabriel Pereira,Female,16,2,2,2,1,2,5,2,13,13,13,2.5,4.666666666666667,Math
231,Gabriel Pereira,Female,17,2,2,2,1,2,5,23,13,13,13,2.5,4.666666666666667,Math
232,Gabriel Pereira,Male,16,2,2,3,1,2,3,2,12,13,12,2.5,5.0,Math
233,Gabriel Pereira,Female,16,2,2,2,1,2,1,14,12,13,12,2.5,4.666666666666667,Math
234,Gabriel Pereira,Female,17,3,2,3,1,2,3,10,12,10,12,2.5,6.0,Math
235,Mousinho Da Silveira,Female,17,2,2,2,1,2,3,0,12,11,12,2.5,4.666666666666667,Math
236,Gabriel Pereira,Male,15,1,2,2,1,2,5,2,12,12,11,2.5,3.6666666666666665,Math
237,Gabriel Pereira,Female,19,2,2,2,1,2,1,22,13,10,11,2.5,4.666666666666667,Math
238,Mousinho Da Silveira,Female,17,2,2,3,1,2,5,2,12,12,11,2.5,5.0,Math
239,Gabriel Pereira,Female,17,1,2,1,1,2,3,12,8,10,10,2.5,3.3333333333333335,Math
240,Gabriel Pereira,Male,18,1,2,3,1,2,1,8,10,11,10,2.5,4.0,Math
241,Mousinho Da Silveira,Female,18,1,2,3,1,2,4,0,11,10,10,2.5,4.0,Math
242,Gabriel Pereira,Female,17,2,2,5,1,2,5,2,6,6,6,2.5,5.666666666666667,Math
243,Mousinho Da Silveira,Female,17,1,2,1,1,2,1,0,7,6,0,2.5,3.3333333333333335,Math
244,Mousinho Da Silveira,Female,18,2,1,3,1,2,1,0,15,15,15,2.5,4.0,Math
245,Gabriel Pereira,Male,16,1,3,2,2,1,5,0,7,6,0,2.0,4.666666666666667,Math
246,Gabriel Pereira,Male,15,1,5,3,1,1,4,6,18,19,19,1.5,7.0,Math
247,Gabriel Pereira,Male,15,1,5,2,1,1,3,10,18,19,19,1.5,6.666666666666667,Math
248,Gabriel Pereira,Male,20,1,5,3,1,1,5,0,17,18,18,1.5,7.0,Math
249,Gabriel Pereira,Male,15,3,5,2,1,1,3,0,14,16,16,1.5,8.666666666666666,Math
250,Gabriel Pereira,Male,15,2,5,2,1,1,5,0,17,16,16,1.5,7.666666666666667,Math
251,Gabriel Pereira,Male,15,2,5,1,1,1,5,0,14,15,15,1.5,7.333333333333333,Math
252,Gabriel Pereira,Male,16,1,5,2,1,1,2,16,12,11,12,1.5,6.666666666666667,Math
253,Gabriel Pereira,Female,16,1,5,2,1,1,5,20,13,12,12,1.5,6.666666666666667,Math
254,Gabriel Pereira,Male,17,2,5,2,1,1,1,4,11,11,11,1.5,7.666666666666667,Math
255,Gabriel Pereira,Male,17,1,5,1,1,1,3,2,8,8,10,1.5,6.333333333333333,Math
256,Gabriel Pereira,Female,15,1,5,1,1,1,5,0,8,7,6,1.5,6.333333333333333,Math
257,Gabriel Pereira,Male,19,1,5,4,1,1,4,0,5,0,0,1.5,7.333333333333333,Math
258,Mousinho Da Silveira,Female,18,3,4,4,1,1,1,0,19,18,19,1.5,8.333333333333334,Math
259,Gabriel Pereira,Male,15,3,4,3,1,1,4,2,15,16,18,1.5,8.0,Math
260,Gabriel Pereira,Male,15,2,4,4,1,1,1,0,16,18,18,1.5,7.333333333333333,Math
261,Gabriel Pereira,Male,16,3,4,3,1,1,4,0,16,17,17,1.5,8.0,Math
262,Gabriel Pereira,Female,16,3,4,5,1,1,4,4,14,15,16,1.5,8.666666666666666,Math
263,Gabriel Pereira,Male,15,2,4,1,1,1,1,0,13,14,15,1.5,6.333333333333333,Math
264,Gabriel Pereira,Male,15,1,4,2,1,1,5,0,12,15,15,1.5,5.666666666666667,Math
265,Gabriel Pereira,Male,16,1,4,3,1,1,5,0,12,14,15,1.5,6.0,Math
266,Gabriel Pereira,Male,16,3,4,3,1,1,5,7,15,16,15,1.5,8.0,Math
267,Gabriel Pereira,Male,18,2,4,3,1,1,2,9,15,13,15,1.5,7.0,Math
268,Mousinho Da Silveira,Female,20,3,4,3,1,1,3,4,15,14,15,1.5,8.0,Math
269,Gabriel Pereira,Male,15,2,4,3,1,1,2,2,11,13,14,1.5,7.0,Math
