,school,sex,age,address,parent_living_status,mother_edu,father_edu,mother_job,father_job,enrollment_reason,guardian,travel_time,weekly_study_time,failures,school_support,family_support,extra_paid_classes,activity_participation,higher_education_plan,internet,romantic,family_relations,free_time,out_w/_friends,weekday_alcohol,weekend_alcohol,health,absences,first_period_grade,second_period_grade,final_grade,subject
19,Gabriel Pereira,M,16,urban,together,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,math
20,Gabriel Pereira,M,15,urban,together,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,0,13,14,15,math
21,Gabriel Pereira,M,15,urban,together,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,0,12,15,15,math
22,Gabriel Pereira,M,16,urban,together,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,math
23,Gabriel Pereira,M,16,urban,together,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,math
24,Gabriel Pereira,F,15,rural,together,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,math
25,Gabriel Pereira,F,16,urban,together,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,math
26,Gabriel Pereira,M,15,urban,together,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,no,4,2,2,1,2,5,2,12,12,11,math
27,Gabriel Pereira,M,15,urban,together,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,no,2,2,4,2,4,1,4,15,16,15,math
28,Gabriel Pereira,M,16,urban,apart,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,math
29,Gabriel Pereira,M,16,urban,together,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,math
30,Gabriel Pereira,M,15,urban,together,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,math
31,Gabriel Pereira,M,15,urban,together,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,math
32,Gabriel Pereira,M,15,rural,together,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,math
33,Gabriel Pereira,M,15,urban,together,3,3,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,2,0,8,10,12,math
34,Gabriel Pereira,M,16,urban,together,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,math
35,Gabriel Pereira,F,15,urban,together,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,math
36,Gabriel Pereira,M,15,urban,together,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,math
37,Gabriel Pereira,M,16,rural,apart,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,math
38,Gabriel Pereira,F,15,rural,together,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,math
39,Gabriel Pereira,F,15,rural,together,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,math
40,Gabriel Pereira,F,16,urban,together,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,math
41,Gabriel Pereira,M,15,urban,together,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,math
42,Gabriel Pereira,M,15,urban,together,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,math
43,Gabriel Pereira,M,15,urban,together,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0,8,8,11,math
44,Gabriel Pereira,F,16,urban,together,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,math
45,Gabriel Pereira,F,15,urban,apart,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,math
46,Gabriel Pereira,F,16,urban,apart,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,12,11,12,11,math
47,Gabriel Pereira,M,16,urban,together,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,math
48,Gabriel Pereira,M,15,urban,together,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,no,no,4,3,3,2,2,5,2,15,15,14,math
49,Gabriel Pereira,F,15,urban,together,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2,7,7,7,math
50,Gabriel Pereira,F,16,urban,together,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,4,2,12,13,13,math
51,Gabriel Pereira,F,15,urban,together,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,5,2,11,13,13,math
52,Gabriel Pereira,M,15,urban,apart,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,no,no,5,5,5,3,4,5,6,11,11,10,math
53,Gabriel Pereira,F,15,urban,together,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,no,3,3,4,2,3,5,0,8,10,11,math
54,Gabriel Pereira,F,15,urban,apart,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,no,5,3,4,4,4,1,6,10,13,13,math
55,Gabriel Pereira,F,16,urban,apart,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,math
56,Gabriel Pereira,F,15,urban,apart,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,math
57,Gabriel Pereira,M,15,urban,together,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,math
58,Gabriel Pereira,M,15,urban,together,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,math
59,Gabriel Pereira,F,16,urban,together,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,4,2,3,1,1,5,2,15,16,16,math
60,Gabriel Pereira,F,16,rural,together,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,math
61,Gabriel Pereira,F,16,urban,together,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,math
62,Gabriel Pereira,F,16,urban,together,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,math
63,Gabriel Pereira,F,16,urban,together,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,math
64,Gabriel Pereira,F,15,urban,together,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,math
65,Gabriel Pereira,F,16,urban,together,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,math
66,Gabriel Pereira,M,15,urban,apart,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,math
67,Gabriel Pereira,F,16,urban,together,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,no,4,3,3,1,2,5,4,7,7,6,math
68,Gabriel Pereira,F,15,rural,together,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,no,4,1,3,1,3,4,2,8,9,8,math
69,Gabriel Pereira,F,15,rural,together,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,math
70,Gabriel Pereira,M,16,urban,together,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,13,15,15,math
71,Gabriel Pereira,M,15,urban,together,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,0,10,10,10,math
72,Gabriel Pereira,F,15,rural,together,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,math
73,Gabriel Pereira,M,16,urban,together,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,math
74,Gabriel Pereira,F,16,urban,together,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,math
75,Gabriel Pereira,M,15,urban,together,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,math
76,Gabriel Pereira,M,15,urban,together,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,math
77,Gabriel Pereira,F,16,urban,together,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,math
78,Gabriel Pereira,M,17,urban,together,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,math
79,Gabriel Pereira,F,16,urban,together,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,12,5,5,5,math
80,Gabriel Pereira,M,15,urban,together,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,math
81,Gabriel Pereira,M,15,urban,together,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,math
82,Gabriel Pereira,F,15,urban,together,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,1,1,5,10,7,6,6,math
83,Gabriel Pereira,M,15,urban,together,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,math
84,Gabriel Pereira,F,15,urban,together,1,1,other,other,home,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,2,3,4,2,9,10,10,math
85,Gabriel Pereira,F,15,urban,together,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,math
86,Gabriel Pereira,F,16,urban,together,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,4,8,7,6,math
87,Gabriel Pereira,F,15,urban,together,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,math
88,Gabriel Pereira,M,16,urban,together,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,yes,yes,no,4,4,2,1,1,3,12,11,10,10,math
89,Gabriel Pereira,M,16,urban,apart,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,18,8,6,7,math
90,Gabriel Pereira,F,16,urban,together,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,math
91,Gabriel Pereira,F,15,urban,together,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,math
92,Gabriel Pereira,F,16,urban,together,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,4,7,6,6,math
93,Gabriel Pereira,F,16,urban,together,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,math
94,Gabriel Pereira,M,15,urban,together,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,math
95,Gabriel Pereira,F,15,rural,together,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,math
96,Gabriel Pereira,M,16,rural,together,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,yes,yes,no,3,3,3,1,1,4,2,11,15,15,math
97,Gabriel Pereira,F,16,urban,together,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,no,yes,4,3,5,1,1,5,2,8,9,10,math
98,Gabriel Pereira,F,16,urban,together,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,5,3,4,1,2,1,6,11,14,14,math
99,Gabriel Pereira,F,16,urban,together,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,3,0,7,9,8,math
100,Gabriel Pereira,M,16,urban,together,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,math
101,Gabriel Pereira,M,16,urban,together,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,math
102,Gabriel Pereira,M,15,urban,together,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,10,13,14,math
103,Gabriel Pereira,F,15,urban,together,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,no,4,3,5,1,1,2,26,7,6,6,math
104,Gabriel Pereira,M,15,urban,apart,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,math
105,Gabriel Pereira,F,15,urban,apart,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,10,10,11,11,math
106,Gabriel Pereira,F,15,urban,together,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,no,5,1,2,1,1,3,8,7,8,8,math
107,Gabriel Pereira,M,16,urban,together,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,math
108,Gabriel Pereira,M,15,rural,together,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,math
109,Gabriel Pereira,F,16,urban,together,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,math
110,Gabriel Pereira,M,15,urban,apart,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19,math
111,Gabriel Pereira,F,16,rural,together,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,math
112,Gabriel Pereira,F,16,urban,together,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13,math
113,Gabriel Pereira,M,15,urban,together,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,10,18,19,19,math
114,Gabriel Pereira,M,15,rural,together,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,math
115,Gabriel Pereira,M,16,urban,together,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,math
116,Gabriel Pereira,M,15,urban,together,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14,math
117,Gabriel Pereira,M,16,urban,together,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13,math
118,Gabriel Pereira,M,17,rural,together,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8,math
119,Gabriel Pereira,M,15,urban,together,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,no,3,4,3,1,2,4,6,14,13,13,math
120,Gabriel Pereira,F,15,urban,together,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15,math
121,Gabriel Pereira,M,15,urban,together,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,math
122,Gabriel Pereira,F,16,urban,together,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,math
123,Gabriel Pereira,M,16,urban,together,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,math
124,Gabriel Pereira,F,16,urban,together,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,math
125,Gabriel Pereira,M,15,urban,together,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,no,5,5,5,3,2,5,0,13,13,12,math
126,Gabriel Pereira,F,15,urban,apart,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,math
127,Gabriel Pereira,F,19,urban,together,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9,math
128,Gabriel Pereira,M,18,rural,together,2,2,services,other,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0,math
129,Gabriel Pereira,M,16,rural,together,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18,math
130,Gabriel Pereira,F,15,rural,together,3,4,services,teacher,course,father,2,3,2,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0,12,0,0,math
131,Gabriel Pereira,F,15,urban,together,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,math
132,Gabriel Pereira,F,17,urban,together,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,math
133,Gabriel Pereira,F,16,urban,apart,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,no,3,2,1,1,4,5,16,12,11,11,math
134,Gabriel Pereira,M,15,rural,together,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,no,yes,5,3,3,1,1,5,0,9,0,0,math
135,Gabriel Pereira,F,15,urban,together,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,math
136,Gabriel Pereira,M,17,rural,together,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,no,no,5,4,5,2,4,5,0,10,0,0,math
137,Gabriel Pereira,F,16,urban,apart,3,3,other,other,course,other,2,1,2,no,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,math
138,Gabriel Pereira,M,16,urban,together,1,1,services,other,course,mother,1,2,1,no,no,no,no,yes,no,yes,4,4,4,1,3,5,0,14,12,12,math
139,Gabriel Pereira,F,15,urban,together,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15,math
140,Gabriel Pereira,M,15,urban,together,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,no,2,2,2,1,1,3,0,7,9,0,math
141,Gabriel Pereira,M,16,urban,together,2,2,services,services,reputation,father,2,1,2,no,yes,no,yes,yes,yes,no,2,3,3,2,2,2,8,9,9,9,math
142,Gabriel Pereira,F,15,urban,together,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11,math
143,Gabriel Pereira,F,16,urban,together,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,no,3,4,4,3,3,1,2,14,14,13,math
144,Gabriel Pereira,M,17,urban,together,2,1,other,other,home,mother,1,1,3,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,0,5,0,0,math
145,Gabriel Pereira,F,15,urban,together,1,1,other,services,course,father,1,2,0,no,yes,yes,no,yes,yes,no,4,4,2,1,2,5,0,8,11,11,math
146,Gabriel Pereira,F,15,urban,together,3,2,health,services,home,father,1,2,3,no,yes,no,no,yes,yes,no,3,3,2,1,1,3,0,6,7,0,math
147,Gabriel Pereira,F,15,urban,together,1,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,10,11,11,math
148,Gabriel Pereira,M,16,urban,together,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,no,yes,yes,3,3,2,2,1,5,0,7,6,0,math
149,Gabriel Pereira,M,15,urban,apart,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,yes,no,4,5,5,2,5,5,0,8,9,10,math
150,Gabriel Pereira,M,18,urban,together,1,1,other,other,course,mother,1,1,3,no,no,no,no,no,yes,yes,2,3,5,2,5,4,0,6,5,0,math
151,Gabriel Pereira,M,16,urban,together,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,14,math
152,Gabriel Pereira,F,15,rural,together,3,3,services,services,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,math
153,Gabriel Pereira,M,19,urban,together,3,2,services,at_home,home,mother,1,1,3,no,yes,no,no,no,yes,yes,4,5,4,1,1,4,0,5,0,0,math
154,Gabriel Pereira,F,17,urban,together,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,no,yes,4,2,1,1,1,4,0,11,11,12,math
155,Gabriel Pereira,M,15,rural,together,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,no,no,4,4,4,1,1,1,2,11,8,8,math
156,Gabriel Pereira,M,17,rural,together,1,2,other,other,reputation,mother,1,1,0,no,no,no,no,yes,no,no,2,2,2,3,3,5,8,16,12,13,math
157,Gabriel Pereira,F,18,rural,together,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,yes,no,no,5,2,5,1,5,4,6,9,8,10,math
158,Gabriel Pereira,M,16,rural,together,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,17,15,15,math
159,Gabriel Pereira,M,16,urban,together,3,3,other,services,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,4,5,5,4,4,5,4,10,12,12,math
160,Gabriel Pereira,M,17,rural,together,2,1,at_home,other,course,mother,2,1,2,no,no,no,yes,no,yes,yes,3,3,2,2,2,5,0,7,6,0,math
161,Gabriel Pereira,M,15,rural,together,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,4,1,4,3,6,5,9,7,math
162,Gabriel Pereira,M,16,urban,together,1,2,other,other,course,mother,2,1,1,no,no,no,yes,yes,no,no,4,4,4,2,4,5,0,7,0,0,math
163,Gabriel Pereira,M,17,urban,together,1,3,at_home,services,course,father,1,1,0,no,no,no,no,no,yes,no,5,3,3,1,4,2,2,10,10,10,math
164,Gabriel Pereira,M,17,rural,together,1,1,other,services,course,mother,4,2,3,no,no,no,yes,no,no,yes,5,3,5,1,5,5,0,5,8,7,math
165,Gabriel Pereira,M,16,urban,together,3,2,services,services,course,mother,2,1,1,no,yes,no,yes,no,no,no,4,5,2,1,1,2,16,12,11,12,math
166,Gabriel Pereira,M,16,urban,together,2,2,other,other,course,father,1,2,0,no,no,no,no,no,yes,no,4,3,5,2,4,4,4,10,10,10,math
167,Gabriel Pereira,F,16,urban,together,4,2,health,services,home,father,1,2,0,no,no,yes,no,yes,yes,yes,4,2,3,1,1,3,0,14,15,16,math
